,dateiname,aktenzeichen,inAS,fundstelle,band,ersteSeite,letzteSeite,jahr,monat,tag,entscheidungsart,spruchkoerper,gruende,abwmeinungen,bvr,bvl,bvq,bvc,bve,bvf,bvo,bva,bvb,bvd,bvg,bvh,bvj,bvk,bvm,bvn,bvp,bvt,pbvs,pbvu,pbvv,vz,namenRichter,anzahlRichter,manuellErgaenzt
403,rs20250114_1bvr054822,1 BvR 548/22,1,"BVerfGE 171, 177-224",171,177,224,2025,1,14,Urteil,I,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
420,es20250320_2bve001025,2 BvE 10/25,1,"BVerfGE 171, 269-272",171,269,272,2025,3,20,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Frank",6,"fundstelle"
427,rk20230628_1bvr101723,1 BvR 1017/23,0,,,,,2023,6,28,Beschluss,I-1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Härtel, Eifert",3,"html-layout"
509,rk20250113_1bvr145424,1 BvR 1454/24,0,,,,,2025,1,13,Beschluss,I-2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Ott, Radtke, Wolff",3,"datum"
516,es20250317_2bve001025,2 BvE 10/25,1,"BVerfGE 171, 258-261",171,258,261,2025,3,17,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
524,qk20241009_2bvq006324,2 BvQ 63/24,0,,,,,2024,10,9,Beschluss,II-1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Offenloch, Wöckel",3,"datum"
525,es20250313_2bve000325,2 BvE 3/25,1,"BVerfGE 171, 234-240",171,234,240,2025,3,13,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
569,ls20241114_1bvl000322,1 BvL 3/22,1,"BVerfGE 170, 247-289",170,247,289,2024,11,14,Beschluss,I,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
574,es20250317_2bve001225,2 BvE 12/25,1,"BVerfGE 171, 263-266",171,263,266,2025,3,17,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
586,rk20231205_1bvr222122,1 BvR 2221/22,0,,,,,2023,12,5,Beschluss,I-3,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Christ, Wolff, Meßling",3,"html-layout"
604,rs20241008_1bvr174316,1 BvR 1743/16; 1 BvR 2539/16; 1 BvR 1743/16; 1 BvR 2539/16,1,"BVerfGE 170, 79-157",170,79,157,2024,10,8,Beschluss,I,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
644,rs20250507_1bvr150723,1 BvR 1507/23; 1 BvR 2197/23; 1 BvR 1507/23; 1 BvR 2197/23,1,"BVerfGE 171, 366-427",171,366,427,2025,5,7,Beschluss,I,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
651,rs20241127_1bvr172623,1 BvR 1726/23,1,"BVerfGE 171, 1-31",171,1,31,2024,11,27,Beschluss,I,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
672,es20250313_2bve000525,2 BvE 5/25,1,"BVerfGE 171, 244-248",171,244,248,2025,3,13,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
679,rs20241128_1bvr046023,1 BvR 460/23; 1 BvR 611/23; 1 BvR 460/23; 1 BvR 611/23,1,"BVerfGE 170, 377-432",170,377,432,2024,11,28,Urteil,I,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
684,rs20250326_2bvr150520,2 BvR 1505/20,1,"BVerfGE 171, 272-360",171,272,360,2025,3,26,Urteil,II,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
697,es20250317_2bve000825,2 BvE 8/25,1,"BVerfGE 171, 256-258",171,256,258,2025,3,17,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
702,es20241210_2bve001523,2 BvE 15/23,0,"BVerfGE 171, 31-61",171,31,61,2024,12,10,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Offenloch, Frank, Wöckel",7,"fundstelle"
710,rk20240204_2bvr094423,2 BvR 944/23,0,,,,,2024,2,4,Beschluss,II-1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Offenloch, Wöckel",3,"html-layout"
741,ls20241126_1bvl000124,1 BvL 1/24,1,"BVerfGE 170, 293-377",170,293,377,2024,11,26,Urteil,I,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
746,ls20240923_1bvl000921,1 BvL 9/21,1,"BVerfGE 170, 52-79",170,52,79,2024,9,23,Beschluss,I,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"fundstelle"
770,rk20241015_1bvr192424,1 BvR 1924/24,0,,,,,2024,10,15,Beschluss,I-3,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Christ, Wolff, Meßling",3,"datum"
